Location,Latitude,Longitude
Simla town,39.14,-104.08
Smeltertown,38.55,-106.01
Snowmass Village town,39.22,-106.94
Snyder,40.33,-103.59
South Fork town,37.67,-106.64
Southern Ute,37.07,-107.59
Springfield town,37.4,-102.62
St. Ann Highlands,39.99,-105.46
St. Mary’s,39.82,-105.65
Starkville town,37.12,-104.52
Steamboat Springs city,40.48,-106.82
Sterling city,40.62,-103.19
Stonegate,39.54,-104.8
Stonewall Gap,37.16,-105.03
Strasburg,39.72,-104.32
Stratmoor,38.77,-104.78
Stratton town,39.3,-102.6
Sugar City town,38.23,-103.66
Sugarloaf,40.02,-105.41
Sunshine,40.06,-105.37
Superior town,39.93,-105.16
Swink town,38.01,-103.63
Tabernash,39.98,-105.84
Tall Timber,40.02,-105.35
Telluride town,37.94,-107.82
The Pinery,39.45,-104.76
Thornton city,39.92,-104.94
Timnath town,40.53,-104.96
Todd Creek,39.98,-104.87
Towaoc,37.21,-108.73
Towner,38.47,-102.08
Trail Side,40.25,-103.84
Trinidad city,37.17,-104.49
Twin Lakes,39.82,-105
Twin Lakes,39.1,-106.32
Two Buttes town,37.56,-102.4
Upper Bear Creek,39.63,-105.42
Vail town,39.64,-106.36
Valdez,37.12,-104.68
Valmont,40.03,-105.21
Vernon,39.94,-102.31
Victor city,38.71,-105.14
Vilas town,37.37,-102.45
Vineland,38.24,-104.46
Vona town,39.3,-102.74
Walden town,40.73,-106.28
Walsenburg city,37.63,-104.78
Walsh town,37.39,-102.28
Ward town,40.07,-105.51
Watkins,39.7,-104.58
Welby,39.84,-104.97
Weldona,40.35,-103.97
Wellington town,40.7,-105.01
West Pleasant View,39.73,-105.18
Westcliffe town,38.13,-105.47
Westcreek,39.15,-105.16
Westminster city,39.88,-105.06
Weston,37.15,-104.87
Wheat Ridge city,39.77,-105.1
Wiggins town,40.23,-104.07
Wiley town,38.16,-102.72
Williamsburg town,38.38,-105.17
Windsor town,40.47,-104.92
Winter Park town,39.88,-105.78
Wolcott,39.7,-106.68
Woodland Park city,39,-105.06
Woodmoor,39.11,-104.85
Woody Creek,39.27,-106.89
Wray city,40.08,-102.23
Yampa town,40.15,-106.91
Yuma city,40.12,-102.72
